filename,expected,base_prediction,base_confidence,base_ai_prob,base_correct,ft_prediction,ft_confidence,ft_ai_prob,ft_correct,cropped_ai_prob,meta_ai_prob,meta_decision,fused_ai_prob,fused_label,fused_correct,has_face,has_place,verdict,verdict_correct
fake+metadata+place-face.png,AI Generated,Real,0.9906,0.0094,False,Real,0.9932,0.0068,False,,0.99,likely_ai_generated,0.2678,Real,False,False,False,Real,False
fake+metadata-place+face.png,AI Generated,Real,0.992,0.008,False,Real,0.9935,0.0065,False,0.0062,0.99,likely_ai_generated,0.2676,Real,False,False,False,Real,False
fake+metadata-place-face.png,AI Generated,Real,0.9901,0.0099,False,Real,0.9938,0.0062,False,,0.99,likely_ai_generated,0.2674,Real,False,False,False,Real,False
fake-metadata+place-face.png,AI Generated,Real,0.9906,0.0094,False,Real,0.9932,0.0068,False,,0.53,uncertain,0.1457,Real,False,False,False,Real,False
fake-metadata-place+face.png,AI Generated,Real,0.992,0.008,False,Real,0.9935,0.0065,False,0.0062,0.5,uncertain,0.1375,Real,False,False,False,Real,False
fake-metadata-place-face.png,AI Generated,Real,0.9901,0.0099,False,Real,0.9938,0.0062,False,,0.5,uncertain,0.1373,Real,False,False,False,Real,False
real+metadata+face.jpeg,Real,Real,0.9921,0.0079,True,Real,0.9939,0.0061,True,0.0062,0.35,likely_camera_origin,0.0975,Real,True,False,False,Real,True
real+metadata+place.jpg,Real,Real,0.9891,0.0109,True,Real,0.9938,0.0062,True,,0.5,uncertain,0.1373,Real,True,False,False,Real,True
real+metadata.jpeg,Real,Real,0.9903,0.0097,True,Real,0.9939,0.0061,True,,0.35,likely_camera_origin,0.0974,Real,True,False,False,Real,True
real-metadata.jpeg,Real,Real,0.9903,0.0097,True,Real,0.9939,0.0061,True,,0.5,uncertain,0.1372,Real,True,False,False,Real,True
